time,open,high,low,close,volume
2025-09-25 20:00:00+00:00,42.287,43.4,39.673,40.367,1826874.98
2025-09-26 00:00:00+00:00,40.369,43.253,40.34,42.885,1538585.12
2025-09-26 04:00:00+00:00,42.886,43.253,41.69,42.426,1303815.49
2025-09-26 08:00:00+00:00,42.425,42.719,40.595,41.07,1184427.42
2025-09-26 12:00:00+00:00,41.071,44.272,40.813,44.204,1497994.38
2025-09-26 16:00:00+00:00,44.214,45.64,44.069,44.871,1162551.44
2025-09-26 20:00:00+00:00,44.86,45.344,44.142,44.822,399436.86
2025-09-27 00:00:00+00:00,44.821,45.449,43.717,43.791,686733.34
2025-09-27 04:00:00+00:00,43.816,44.886,43.452,44.471,816819.06
2025-09-27 08:00:00+00:00,44.471,44.522,43.193,43.691,483153.51
2025-09-27 12:00:00+00:00,43.701,45.809,43.332,45.78,777097.4
2025-09-27 16:00:00+00:00,45.775,45.938,45.1,45.635,484107.82
2025-09-27 20:00:00+00:00,45.635,46.563,45.32,45.755,609002.27
2025-09-28 00:00:00+00:00,45.763,45.857,44.497,44.742,404149.38
2025-09-28 04:00:00+00:00,44.746,44.883,44.153,44.837,251610.08
2025-09-28 08:00:00+00:00,44.84,44.969,43.367,43.581,393492.02
2025-09-28 12:00:00+00:00,43.599,44.557,42.899,44.556,615109.61
2025-09-28 16:00:00+00:00,44.554,46.048,44.546,45.69,1020423.96
2025-09-28 20:00:00+00:00,45.698,47.379,45.575,47.224,975115.53
2025-09-29 00:00:00+00:00,47.209,47.509,46.396,47.355,735274.23
2025-09-29 04:00:00+00:00,47.36,47.917,46.68,47.768,798458.1
2025-09-29 08:00:00+00:00,47.775,48.138,45.91,46.296,781089.04
2025-09-29 12:00:00+00:00,46.284,47.852,45.749,46.664,886361.6
2025-09-29 16:00:00+00:00,46.664,47.148,44.98,46.065,556136.42
2025-09-29 20:00:00+00:00,46.072,47.098,45.97,46.205,350793.61
2025-09-30 00:00:00+00:00,46.204,46.329,44.534,44.681,665603.8
2025-09-30 04:00:00+00:00,44.673,45.32,44.259,44.988,632230.77
2025-09-30 08:00:00+00:00,44.984,45.676,43.591,45.643,642628.59
2025-09-30 12:00:00+00:00,45.646,45.646,43.403,43.83,1003688.96
2025-09-30 16:00:00+00:00,43.829,45.694,43.501,45.47,925952.34
2025-09-30 20:00:00+00:00,45.47,46.474,44.873,45.212,606450.71
2025-10-01 00:00:00+00:00,45.214,45.903,44.571,44.95,477088.28
2025-10-01 04:00:00+00:00,44.968,45.696,44.637,45.686,367214.59
2025-10-01 08:00:00+00:00,45.67,47.719,45.588,47.585,850905.59
2025-10-01 12:00:00+00:00,47.586,48.1,46.909,47.265,898274.43
2025-10-01 16:00:00+00:00,47.262,48.005,46.706,47.115,373945.52
2025-10-01 20:00:00+00:00,47.125,47.299,46.367,47.261,331427.32
2025-10-02 00:00:00+00:00,47.264,49.429,47.041,49.404,831199.32
2025-10-02 04:00:00+00:00,49.411,49.695,48.618,48.829,724439.57
2025-10-02 08:00:00+00:00,48.826,49.863,48.683,49.625,500205.44
2025-10-02 12:00:00+00:00,49.633,49.915,48.599,49.183,545703.38
2025-10-02 16:00:00+00:00,49.176,51.107,48.96,50.88,847573.51
2025-10-02 20:00:00+00:00,50.878,50.93,49.995,50.826,482524.49
2025-10-03 00:00:00+00:00,50.847,50.877,49.691,50.158,363289.77
2025-10-03 04:00:00+00:00,50.145,50.426,49.375,49.55,511517.17
2025-10-03 08:00:00+00:00,49.559,49.932,48.563,49.505,394801.79
2025-10-03 12:00:00+00:00,49.513,50.738,48.524,50.456,738253.9
2025-10-03 16:00:00+00:00,50.463,50.884,49.649,49.986,778879.9
2025-10-03 20:00:00+00:00,49.992,50.162,49.329,49.438,221957.42
2025-10-04 00:00:00+00:00,49.441,49.576,48.636,48.972,238079.48
2025-10-04 04:00:00+00:00,48.982,49.281,48.563,48.708,387128.98
2025-10-04 08:00:00+00:00,48.702,48.92,47.761,48.229,340179.65
2025-10-04 12:00:00+00:00,48.229,48.862,47.725,47.875,307158.08
2025-10-04 16:00:00+00:00,47.909,48.754,47.909,48.579,150957.7
2025-10-04 20:00:00+00:00,48.581,49.338,48.464,49.165,140426.38
2025-10-05 00:00:00+00:00,49.163,50.303,48.9,49.997,379453.05
2025-10-05 04:00:00+00:00,49.996,51.318,49.854,51.279,454829.23
2025-10-05 08:00:00+00:00,51.279,51.47,48.928,49.313,543797.2
2025-10-05 12:00:00+00:00,49.308,49.547,48.563,48.977,300829.9
2025-10-05 16:00:00+00:00,48.984,49.18,47.375,47.465,343518.91
2025-10-05 20:00:00+00:00,47.448,48.5,47.373,48.237,241717.76
2025-10-06 00:00:00+00:00,48.236,48.828,47.911,48.473,233569.92
2025-10-06 04:00:00+00:00,48.472,49.164,48.277,48.512,238326.71
2025-10-06 08:00:00+00:00,48.516,49.108,48.087,48.284,408644.44
2025-10-06 12:00:00+00:00,48.283,49.133,48.269,48.755,883595.37
2025-10-06 16:00:00+00:00,48.757,49.6,48.246,49.337,561632.29
